0.000000,0.000000
0.025000,0.001142
0.050000,0.002283
0.075000,0.003412
0.100000,0.004522
0.125000,0.005606
0.150000,0.006656
0.175000,0.007666
0.200000,0.008629
0.225000,0.009540
0.250000,0.010392
0.275000,0.011180
0.300000,0.011899
0.325000,0.012545
0.350000,0.013114
0.375000,0.013603
0.400000,0.014007
0.425000,0.014325
0.450000,0.014555
0.475000,0.014695
0.500000,0.014745
0.525000,0.014704
0.550000,0.014572
0.575000,0.014350
0.600000,0.014040
0.625000,0.013643
0.650000,0.013162
0.675000,0.012599
0.700000,0.011958
0.725000,0.011244
0.750000,0.010460
0.775000,0.009610
0.800000,0.008701
0.825000,0.007738
0.850000,0.006726
0.875000,0.005672
0.900000,0.004582
0.925000,0.003462
0.950000,0.002319
0.975000,0.001160
1.000000,0.000000
